song_name,song_id,artist,track_preview,track_img
La Bonne Attitude,3qui9azjjFN4uKPT3Mm4Lt,Dela,https://p.scdn.co/mp3-preview/b31b76533a1010f6b8e93a9ad24747d3cc948ad7?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02f3207a51fd1efb12f73dd537
Lisboa Mulata,53rF0hPSBHd1Q44hcWkDEW,Dead Combo,https://p.scdn.co/mp3-preview/c80368b16f33cc0596772786a1025fd5693a6089?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0286e337a0f0c88ab88d898cbc
Just One Dance,2HSEXxOWGrmkUDa1ftt6iQ,Various Artists,https://p.scdn.co/mp3-preview/1680dce67e1cc836b11d47db1132b962d7cf06dd?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ac7559bbaac4dcc88ce30980
Ikea,3YlkEc9QQOAdMf4kecOA8b,Jonathan Coulton,https://p.scdn.co/mp3-preview/04864c93377969997d459ef12a3becc5a7c7586a?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02a422d871dbfd354dede7e0e4
Timelapse,0QwruOc9kmaurgj3l9yuyk,Zach Herron,https://p.scdn.co/mp3-preview/97316145ec267e472e6262e347665754c0017b57?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0274b03e3275490480cb64f09e
Something More - Andrelli Remix,6dEuww75OLunArThrnt0Vs,Luke Potter,https://p.scdn.co/mp3-preview/106c2dc9bce001cdde5405f053001c0058b3328d?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02f51711785a33130faf6ec0ce
"1816, The Year Without a Summer",7zrddvfYcTacnpBuEJprRo,Rasputina,https://p.scdn.co/mp3-preview/3265d618e4874a836b3b3ec6350e2a4cb6ca7287?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e027276a4d30628637e96a615c2
This Is Us Colliding,1zUbVMC5kGznDqGDZq1MQa,Talos,https://p.scdn.co/mp3-preview/5ac796e27a7d08d5583cd3c1a66b882168186c21?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02d87e8974e63d8abcc1ffc5f1
Out of Order,6mbSr707T5mXS9pw7F3ahZ,Highasakite,https://p.scdn.co/mp3-preview/4b671fc2faaafcadae7a143f6f94f72d9d45c220?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ba481fe3ba136d06081d18dd
Stay Off My Mind,3EIloISJJFMs88jSmvOSMa,Skott,https://p.scdn.co/mp3-preview/4278e348500e701c1eb0fb86831a2e2bb1036159?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02dd4afc02001456a609ddf39c
Pennsylvania 6-5000,6KBMXvbMnhCzuTabTXIVxu,Glenn Miller,https://p.scdn.co/mp3-preview/dd1c4c8d31bd699682cc958a0552fa948fbe9d00?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02a3644583af503ce72dfa4673
Is It A Crime - Album Mix,2WCkVQcnzUUmrQ0ZOPRGVB,The Moleskins,https://p.scdn.co/mp3-preview/35024c98129d3a57e941d9b9dd3e37635376e26e?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0237c993ea87c425543ac9b161
Fake Denim,2qCmiYH5ol3nSo7SGUcdAM,Quinn XCII,https://p.scdn.co/mp3-preview/014002c6b202c2bc538b2a1614aa4aa222750d2d?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02fd61901328e049ff1f5b2f7f
Idyll,2ysZGDTgQD94WILo4jPeex,LOKE,https://p.scdn.co/mp3-preview/a5bad24afe70dd2ae61c39812215b72b64b40ba5?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0201a11cd1d7e2a84d85dc16c7
Fight Song,6bRbeEgg8v8BQ0HuVuPE7v,Rachel Platten,https://p.scdn.co/mp3-preview/6f663802836a949b3485a71e13ff92d7a6fba6b2?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02541df73c3300b8e692266d6a
Human Touch,073wmqmf5KfrQiNukyuqrq,Betty Who,https://p.scdn.co/mp3-preview/6a39ca1c459c286a5a6b70539fbcac344400aae8?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02dec8d529711b31fbaa3c70b5
Our Song,435krc5dscSagcJeapvPl3,Matchbox Twenty,https://p.scdn.co/mp3-preview/8e0383eb80e52f4e18e8e494d3cfc2ddee43545b?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0278f399f41d238bb1ef576e00
El Muro de Berlin,0RZtzFLW7pCgv94pHK9Oaq,Joaquín Sabina,https://p.scdn.co/mp3-preview/4ea291448b959d1c1eb52dcb586702f73e012566?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0293b0511bd74fb3192e315219
Nostalgia - Single Version,4pSRM0u2o3FsflPe8Mh2vg,MØ,https://p.scdn.co/mp3-preview/2ef2b56be88c3e8db367b037b208a183ed8545aa?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e025180460c0ecae55ddb95d928
Epoca,6nrUDtBBWBKuSDofJpphDd,Hôtel Costes,https://p.scdn.co/mp3-preview/6d85cc85303260168d630619241e9a5febd73af9?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0287f98ece448bdfe6fcb3d2d9
Shoot (Bonus),2TxIZb5ZKd8Rb10q62n4Fq,BlocBoy JB,https://p.scdn.co/mp3-preview/a1b215b813bd0d887d95ba97648a6acabefa2ab9?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02ebcc993717e0b87543d168d2
Personal Jesus - 2006 Remaster,3a26VAAeeZ9BMKbdXKFhj9,Depeche Mode,https://p.scdn.co/mp3-preview/40ee601d02674ba31ce5ee948438047d0890011e?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0200e0b46b7c3f61784b7de64c
Spring Snow,1ze0Z3ZnIDITxj13NRok4z,Vampire Weekend,https://p.scdn.co/mp3-preview/316f77aa37c536530eba932a004b9ee330d3da7b?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02a2b1d3e73c66663c01351bcf
You Don't Know Me (feat. Regina Spektor),5xDJfkWp8ufjxjJ6HDb100,Ben Folds,https://p.scdn.co/mp3-preview/cf856513bb19548c09cf42fd9e7923e82f1179a7?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0231a85142324df7dc2eda403e
Mason-Dixon Line,5eebwQwrOQN5rZgR05HGef,Judah & the Lion,https://p.scdn.co/mp3-preview/a31693c8550e71c81d1185c35b2733d3ea5d4cb1?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e028f3a334230d016ae2e3bea41
World Gone Mad,5HGC2N68GV3vbQkYsHxmfg,Various Artists,https://p.scdn.co/mp3-preview/da7784ed96afe2b6c9506d1b50e5603de95ab4b2?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02d6772690b4b42c319fb28056
Into My Arms,3kodZApJaGmtZxw9gEpFki,Band of Horses,https://p.scdn.co/mp3-preview/b6a851cda5e4ec99ff2dd20d82b35a6e2ccdf5a2?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02504f08c916f17d2cc1efcde6
Not Alone,7tx0NDsCViutjOyd1c4A28,Otto Knows,https://p.scdn.co/mp3-preview/f0290b00cff7ffb50c5549082ede31dfe7cc61e0?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02748e2e89828b8ba4e91a3cc9
First Day Out,0mGgkrD2phGmsBiDy58z1O,Tee Grizzley,https://p.scdn.co/mp3-preview/5dab7a81e00fc8ea37f4c876a4e66145a45a314b?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e025aea8ba84944e3f98b5d4741
Friend of a Friend,2U7Zc6NrWQgUWdBAIFrzdI,Lake Malawi,https://p.scdn.co/mp3-preview/7756a5849e481e23fb4adfeee956511e66b12434?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02c889e853d7c7fc0fdf472e6a
You Know What They Do to Guys Like Us in Prison,0xlO6Imwi6jaFlCNWWzS7z,My Chemical Romance,https://p.scdn.co/mp3-preview/48887982bdb9b10745d56ab8670b86ea55bd4c7e?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0235cb087b62fa3e6f0b2afb61
We Are... (feat. MØ),7LpFbKbjfB2vuKx59Lgtdq,Noah Cyrus,https://p.scdn.co/mp3-preview/61ec47b2324e3ff96742d07c7b2fd52f4ae7691a?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e024213a51d3d8d522b15e3dfb5
Lost,078kLYfYCjjPMbABqriXT3,Liza Anne,https://p.scdn.co/mp3-preview/c5c07d0273da1e1d262f3aa10aed5e69a2cc2807?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02b15cd7217c59ea55e3b3af77
Famous,2HGymMoOdB4ZYv0AAqYmgF,Mason Ramsey,https://p.scdn.co/mp3-preview/a942b08b99078279f04d3a805b5718ba5242e79e?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02a5d4979cc3978d522d50ea50
Something 'Bout You,2VdKelTyQHxQKyeTbimoHS,Sir Rosevelt,https://p.scdn.co/mp3-preview/072c9ef04172bf1a4177796af54fd936d86ca41a?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0203299c20e6bcf19f40ac50bf
Jesus I Believe,3HRfH5dCEmrc4kquT51XgE,Big Daddy Weave,https://p.scdn.co/mp3-preview/2e3a0a2a995a521c1e5165c714984722d1912647?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e024092481b8dee92abd350223a
Johanna,3U5A5pz3EsEs2XlwDhtWnP,Various Artists,https://p.scdn.co/mp3-preview/242b12ddb1be0b208e3070d1f79a1e3253b7fbaf?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e023f25e699960f15872a91283b
No Worries,2GXIN2ZOwvPBvAQHKwkhhO,Pogo,https://p.scdn.co/mp3-preview/288de0d3563a1a94a4f6b05decc2ed27bb9eb5f5?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0266f45a5c48e5f17dc06ac91c
She Sets The City On Fire,1LWEjUzrngRXdUBaf7GWYI,Gavin DeGraw,https://p.scdn.co/mp3-preview/a17ef48f0951f8c9abc66234a9014154b014b4bc?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0290d49227b75b78e006082c1b
Haze,0nb8EZAhGSMM66lrhLIsml,Tessa Violet,https://p.scdn.co/mp3-preview/49e388ecb44776fec00570fee130af8746d15db5?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e027f1a31ea35f126a345b8b974
Line Of Sight,2IUHcSxFPDKLRVgjXxvKjl,ODESZA,https://p.scdn.co/mp3-preview/198fc31c9c138793f56b545131c49b5fdde4e2ba?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0256e3f72affc066184021c667
Ingenting,1KJe9UbBelM1Jz0uZRPlhi,kent,https://p.scdn.co/mp3-preview/6896a078089d365ba923fbe6f1be7a2cd0254425?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e024604ba67380d0397c42719f8
"Ashes - from ""Deadpool 2"" Motion Picture Soundtrack",4hwLzecH1SuTsMN2JyCPGs,Various Artists,https://p.scdn.co/mp3-preview/63bf53b073301f53f3f4294b93894bc70c9c9f93?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0238dfee186d4c7f55e4512bcb
Wrapped Around,20dc1jFEG3azMMyvpHj8La,Brad Paisley,https://p.scdn.co/mp3-preview/49e43afc4963d82a5d3940a9869cebfce4dc55d3?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e0294da46e08a9a9971436da68a
Hold You Now (feat. Danielle Haim),15E2P2ToSLNnZvcOEQra6a,Vampire Weekend,https://p.scdn.co/mp3-preview/579612b22a4a29d09ed5463dabdaa8975da6815a?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e02a2b1d3e73c66663c01351bcf
The Drift,14JJgiD5VDRpMOuTm9AE5J,Blackmill,https://p.scdn.co/mp3-preview/589d112490d588253f4355f1d2cbed07fa6afbb1?cid=09f53c0a70fc4818ab7438fb2dff64dd,https://i.scdn.co/image/ab67616d00001e021e240c89392460689b7615a3
